ID,R_min,R_max,R_mean,R_median,R_std,G_min,G_max,G_mean,G_median,G_std,B_min,B_max,B_mean,B_median,B_std,pixel_ratio,area,perimeter,circularity_laplacian,bounding_box_ratio,center_mass_x,center_mass_y
96,2,255,105.84271684901931,107.0,64.73697664056229,2,255,87.9574906084964,90.0,56.502852667666865,0,255,64.019556693643,53.0,50.846824559479096,0.0365135,876324,4738,0.490551329614955,1.5083333333333333,2810.409528895705,1851.4311647290272
97,3,255,100.59977207645466,93.0,71.1289928934385,0,255,81.1874935310252,66.0,66.11335605476242,0,255,70.2089996377374,49.0,65.63988891007811,0.038646,927504,4592,0.5527412756493959,1.5847457627118644,2914.5598552674705,2037.3237031861856
98,0,174,53.36859809370013,29.0,50.0597273037601,0,170,49.71052722880014,21.0,51.0711290980852,0,196,40.645426331161254,14.0,45.36482638558493,0.026421166666666666,634108,5962,0.2241760192256376,1.25,2642.791902956594,1205.1894251452434
99,0,255,60.03841173585615,53.0,44.533548857686455,0,255,44.70160288583621,31.0,37.34834650680289,0,255,34.32901787146662,21.0,32.72125957511559,0.0363615,872676,4794,0.4771630841157019,0.6098901098901099,3294.0514051033833,2345.636621151493
100,1,255,57.150882310383835,35.0,51.68615609291158,1,255,48.67015962484544,27.0,46.36411961900147,0,255,43.055350753729186,22.0,44.3313830106659,0.025340666666666668,608176,4524,0.3734168829585745,0.9923076923076923,2870.87990318592,1895.7785049064744
101,0,255,79.70279900445274,75.0,58.749182583365155,0,255,64.67220342608256,53.0,52.89373196272036,0,255,56.632629450310134,40.0,51.07557512996772,0.0257145,617148,4732,0.3463456345453176,0.68125,2922.137075709554,1799.5320474181233
102,0,255,68.93065812099421,52.0,60.17033040059961,0,255,56.02605127403471,38.0,52.410673627679216,0,255,50.024087853681415,30.0,52.49578259827528,0.026654166666666666,639700,4713,0.3619022933574507,0.9452054794520548,2862.8638861966547,1584.6994778802564
103,0,255,81.31879203547662,83.0,59.19534254199195,1,255,66.790238912082,59.0,52.096450959956506,0,255,58.255952134915056,45.0,50.06910933359936,0.028225166666666666,677404,4531,0.41463837752274424,1.2461538461538462,2958.395775637581,1957.005881276166
104,2,250,76.42868389909269,57.0,62.1324429509921,1,240,70.00845463115877,44.0,62.867982007312726,0,249,60.49168744943602,40.0,56.42238608004767,0.024927166666666667,598252,4871,0.316852956673405,1.0208333333333333,3113.3987149228083,1758.2822556380922
105,3,255,80.15438618071909,66.0,61.540598009130775,0,255,61.102969809861875,42.0,57.11019665722768,0,255,53.9687800934875,31.0,57.55921620406462,0.023710833333333334,569060,3313,0.6515159492342513,0.6842105263157895,3022.2389695286965,2226.3202122799003
106,0,255,68.10974772519633,65.0,45.03107665558895,0,255,51.90527416467308,48.0,37.106123036398074,0,255,40.52337119831852,36.0,30.689199803655633,0.0315595,757428,5408,0.3254451875512057,1.2481751824817517,2760.249285740691,1741.965910951272
107,6,255,108.29329181878398,110.0,59.5003464282658,0,255,83.63727914105704,83.0,52.28753962568955,0,255,64.08316581172882,59.0,39.567561792791636,0.021639,519336,3938,0.4208301714522423,0.896551724137931,2542.8641573085633,1297.864334457846
108,1,255,71.41703143544682,70.0,45.57685407761529,0,255,54.89458726684742,47.0,39.86674625630141,0,255,52.619431831792596,41.0,43.66181756538147,0.0153065,367356,3029,0.5031511329082974,1.2988505747126438,3003.0570999248685,1657.7344047735712
109,3,220,81.8713922551532,81.0,50.862524895456765,0,209,65.75769915976682,56.0,48.814020867541814,0,255,46.88347634993721,43.0,35.73944444556945,0.03264966666666667,783592,6776,0.2144633387833158,0.9116279069767442,2745.7506406395164,2250.230170803173
110,3,245,73.23347280495489,74.0,45.70299874990875,2,227,64.10663047320455,68.0,40.82381741221567,0,233,37.59503857562205,32.0,29.485109642262813,0.021689,520536,4176,0.37509360034168954,0.9106302916274694,2969.9490909370343,1783.5514316012725
